currentName,newName,folder,alt,suggestedFolder,format,width,height,bytes,referencedIn
0062bdc3-69f5-4380-93d2-d30f82a0d2b9_Floofy-t09.webp,floofy-profile-01,artwork,Profile view of floofy,artwork,webp,400,400,12682,src/app/about/about.html
4-point-stars.svg,pattern-stars,graphics,Star pattern,graphics,svg,30,50,970,src/app/components/hero/hero.spec.ts | src/app/components/hero/hero.ts | src/app/components/section/section.spec.ts | src/app/components/section/section.ts
6BA33836.jpeg,floofy-streaming-01,artwork,Screenshot of a floofy stream,artwork,jpeg,1718,966,136938,docs/refactor/03-target-architecture.md | src/app/home/home.html
A6757DF0.jpeg,nimi-commission,artwork,Progress steps of a nimi artwork,artwork,jpeg,3840,1864,653921,docs/refactor/03-target-architecture.md
bluesky.svg,bluesky,icons,Bsky icon,icons,svg,24,24,665,src/styles/utilities/icons.css
chibi1.webp,fauna-chibi-01,artwork,Fauna chibi,artwork,webp,1080,1080,77600,src/app/services/gallery-image.service.ts
chibi2.webp,nimi-chibi-01,artwork,Nimi chibi,artwork,webp,1080,1080,47650,src/app/services/gallery-image.service.ts
chibi3.webp,fauna-chibi-02,artwork,Fauna chibi,artwork,webp,1080,1080,57886,src/app/services/gallery-image.service.ts
chibi4.jfif,raora-chibi-01,artwork,Raora chibi,artwork,jfif,1080,1080,144291,src/app/services/gallery-image.service.ts
email.svg,email,icons,Email icon,icons,svg,512,512,1899,src/styles/utilities/icons.css
emote1.webp,otomo-emote-01,artwork,Otomo emote,artwork,webp,400,400,16836,src/app/services/gallery-image.service.ts
emote2.webp,emote-01,artwork,emote,artwork,webp,512,512,31238,src/app/services/gallery-image.service.ts
emote3.webp,duckie-emote-01,artwork,Duckie emote,artwork,webp,323,340,13902,src/app/services/gallery-image.service.ts
emote4.webp,oko-emote-01,artwork,Oko emote,artwork,webp,500,500,11142,src/app/services/gallery-image.service.ts
emote5.webp,emote-02,artwork,emote,artwork,webp,512,512,31932,src/app/services/gallery-image.service.ts
flag-en.svg,flag-en,icons,American flag icon,icons,svg,18,18,2227,src/app/components/language-toggle/language-toggle.spec.ts | src/app/components/language-toggle/language-toggle.ts
flag-ja.svg,flag-ja,icons,Japanese flag icon,icons,svg,18,18,176,src/app/components/language-toggle/language-toggle.spec.ts | src/app/components/language-toggle/language-toggle.ts
Floofy_Illustration_T03.png,floofy-01,artwork,Floofy illustration,artwork,png,1080,1861,1771290,src/app/about/about.html | src/app/services/gallery-image.service.ts
